Date,open,high,low,close,volume,Signal,Portfolio
2022-01-03,177.8300018310547,182.8800048828125,177.7100067138672,182.00999450683594,104487900,,10000.0
2022-01-04,182.6300048828125,182.94000244140625,179.1199951171875,179.6999969482422,99310400,,10000.0
2022-01-05,179.61000061035156,180.1699981689453,174.63999938964844,174.9199981689453,94537600,HOLD,10000.0
2022-01-06,172.6999969482422,175.3000030517578,171.63999938964844,172.0,96904000,HOLD,10000.0
2022-01-07,172.88999938964844,174.13999938964844,171.02999877929688,172.1699981689453,86709100,HOLD,10000.0
2022-01-10,169.0800018310547,172.5,168.1699981689453,172.19000244140625,106765600,HOLD,10000.0
2022-01-11,172.32000732421875,175.17999267578125,170.82000732421875,175.0800018310547,76138300,HOLD,10000.0
2022-01-12,176.1199951171875,177.17999267578125,174.82000732421875,175.52999877929688,74805200,HOLD,10000.0
2022-01-13,175.77999877929688,176.6199951171875,171.7899932861328,172.19000244140625,84505800,HOLD,10000.0
2022-01-14,171.33999633789062,173.77999877929688,171.08999633789062,173.07000732421875,80440800,HOLD,10000.0
2022-01-18,171.50999450683594,172.5399932861328,169.41000366210938,169.8000030517578,90956700,HOLD,10000.0
2022-01-19,170.0,171.0800018310547,165.94000244140625,166.22999572753906,94815000,HOLD,10000.0
2022-01-20,166.97999572753906,169.67999267578125,164.17999267578125,164.50999450683594,91420500,HOLD,10000.0
2022-01-21,164.4199981689453,166.3300018310547,162.3000030517578,162.41000366210938,122848900,HOLD,10000.0
2022-01-24,160.02000427246094,162.3000030517578,154.6999969482422,161.6199951171875,162294600,HOLD,10000.0
2022-01-25,158.97999572753906,162.75999450683594,157.02000427246094,159.77999877929688,115798400,HOLD,10000.0
2022-01-26,163.5,164.38999938964844,157.82000732421875,159.69000244140625,108275300,HOLD,10000.0
2022-01-27,162.4499969482422,163.83999633789062,158.27999877929688,159.22000122070312,121954600,HOLD,10000.0
2022-01-28,165.7100067138672,170.35000610351562,162.8000030517578,170.3300018310547,179935700,HOLD,10000.0
2022-01-31,170.16000366210938,175.0,169.50999450683594,174.77999877929688,115541600,HOLD,10000.0
2022-02-01,174.00999450683594,174.83999633789062,172.30999755859375,174.61000061035156,86213900,HOLD,10000.0
2022-02-02,174.75,175.8800048828125,173.3300018310547,175.83999633789062,84914300,HOLD,10000.0
2022-02-03,174.47999572753906,176.24000549316406,172.1199951171875,172.89999389648438,89418100,HOLD,10000.0
2022-02-04,171.67999267578125,174.10000610351562,170.67999267578125,172.38999938964844,82465400,HOLD,10000.0
2022-02-07,172.86000061035156,173.9499969482422,170.9499969482422,171.66000366210938,77251200,HOLD,10000.0
2022-02-08,171.72999572753906,175.35000610351562,171.42999267578125,174.8300018310547,74829200,HOLD,10000.0
2022-02-09,176.0500030517578,176.64999389648438,174.89999389648438,176.27999877929688,71285000,HOLD,10000.0
2022-02-10,174.13999938964844,175.47999572753906,171.5500030517578,172.1199951171875,90865900,HOLD,10000.0
2022-02-11,172.3300018310547,173.0800018310547,168.0399932861328,168.63999938964844,98670700,HOLD,10000.0
2022-02-14,167.3699951171875,169.5800018310547,166.55999755859375,168.8800048828125,86185500,HOLD,10000.0
2022-02-15,170.97000122070312,172.9499969482422,170.25,172.7899932861328,62527400,HOLD,10000.0
2022-02-16,171.85000610351562,173.33999633789062,170.0500030517578,172.5500030517578,61177400,HOLD,10000.0
2022-02-17,171.02999877929688,171.91000366210938,168.47000122070312,168.8800048828125,69589300,HOLD,10000.0
